Age,Base_survival,Base_hazard,Target_hazard,Target_survival
0,1.0,0.05,0.02,1.0
1,0.95,0.05,0.03,0.98
2,0.9,0.05,0.02,0.95
3,0.86,0.05,0.02,0.93
4,0.82,0.05,0.02,0.9
5,0.78,0.05,0.02,0.88
6,0.74,0.05,0.02,0.86
7,0.7,0.05,0.02,0.84
8,0.67,0.05,0.02,0.82
9,0.64,0.05,0.03,0.8
10,0.61,0.05,0.03,0.78
11,0.58,0.05,0.02,0.76
12,0.55,0.05,0.02,0.74
13,0.52,0.05,0.03,0.72
14,0.5,0.05,0.02,0.7
15,0.47,0.05,0.02,0.69
16,0.45,0.05,0.02,0.67
17,0.43,0.05,0.02,0.65
18,0.41,0.05,0.03,0.64
19,0.39,0.05,0.02,0.62
20,0.37,0.05,0.03,0.61
21,0.35,0.05,0.02,0.59
22,0.33,0.05,0.03,0.58
23,0.32,0.05,0.03,0.56
24,0.3,0.05,0.02,0.55
25,0.29,0.05,0.02,0.54
26,0.27,0.05,0.02,0.52
27,0.26,0.05,0.03,0.51
28,0.25,0.05,0.02,0.5
29,0.23,0.05,0.02,0.48
30,0.22,0.05,0.02,0.47
31,0.21,0.05,0.02,0.46
32,0.2,0.05,0.03,0.45
33,0.19,0.05,0.02,0.44
34,0.18,0.05,0.02,0.43
35,0.17,0.05,0.03,0.42
36,0.17,0.05,0.02,0.41
37,0.16,0.05,0.03,0.4
38,0.15,0.05,0.03,0.39
39,0.14,0.05,0.02,0.38
40,0.14,0.05,0.03,0.37
41,0.13,0.05,0.02,0.36
42,0.12,0.05,0.02,0.35
43,0.12,0.05,0.03,0.34
44,0.11,0.05,0.02,0.33
45,0.11,0.05,0.03,0.32
46,0.1,0.05,0.02,0.32
47,0.1,0.05,0.03,0.31
48,0.09,0.05,0.02,0.3
49,0.09,0.05,0.02,0.29
50,0.08,,,
